Name,Cuisines,Cost,avg_rating,review_count,tags,Collections,Timings,Links,Popular Dishes
Beyond Flavours,"Chinese, Continental, Kebab, European, South Indian, North Indian",800.0,4.28,100.0,"Chinese, Continental, Kebab, European, South Indian, North Indian Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings ","Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,
Paradise,"Biryani, North Indian, Chinese",800.0,4.7,100.0,"Biryani, North Indian, Chinese Hyderabad's Hottest ",Hyderabad's Hottest,11 AM to 11 PM,https://www.zomato.com/hyderabad/paradise-gachibowli,
Flechazo,"Asian, Mediterranean, North Indian, Desserts",1300.0,4.66,100.0,"Asian, Mediterranean, North Indian, Desserts Great Buffets, Hyderabad's Hottest ","Great Buffets, Hyderabad's Hottest","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",https://www.zomato.com/hyderabad/flechazo-gachibowli,
Shah Ghouse Hotel & Restaurant,"Biryani, North Indian, Chinese, Seafood, Beverages",800.0,3.21,100.0,"Biryani, North Indian, Chinese, Seafood, Beverages Late Night Restaurants ",Late Night Restaurants,12 Noon to 2 AM,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,
Over The Moon Brew Company,"Asian, Continental, North Indian, Chinese, Mediterranean",1200.0,4.34,100.0,"Asian, Continental, North Indian, Chinese, Mediterranean Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest ","Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,
The Fisherman's Wharf,"Seafood, Goan, North Indian, Continental, Asian",1500.0,4.22,100.0,"Seafood, Goan, North Indian, Continental, Asian Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated ","Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,
eat.fit,"Healthy Food, North Indian, Continental, South Indian",500.0,3.2,100.0,"Healthy Food, North Indian, Continental, South Indian Food Hygiene Rated Restaurants in Hyderabad ",Food Hygiene Rated Restaurants in Hyderabad,7 AM to 10 PM,https://www.zomato.com/hyderabad/eat-fit-gachibowli,
Shah Ghouse Spl Shawarma,Lebanese,300.0,3.43,100.0,Lebanese  ,,12 Noon to 12 Midnight,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,
Hyper Local,"American, Chinese, North Indian, Kebab, South Indian",1000.0,3.64,100.0,"American, Chinese, North Indian, Kebab, South Indian Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week ","Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week",12 Noon to 12 Midnight,https://www.zomato.com/hyderabad/hyper-local-gachibowli,
Cream Stone,"Ice Cream, Desserts",350.0,3.84,100.0,"Ice Cream, Desserts Frozen Delights ",Frozen Delights,"10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",https://www.zomato.com/hyderabad/cream-stone-gachibowli,
